"site_id","monitoring_id","group","parameter","unit","value","notes"
1,"1_0","Physical","Bottom_visible","0/1","1",NA
1,"1_0","Physical","Distance_5m","m","82.9889020904982",NA
1,"1_0","Physical","Distance_20m","m","164.45001973472199",NA
1,"1_0","Physical","Riparian_vegetation","%","0",NA
1,"1_0","Physical","Riparian_species",NA,NA,NA
1,"1_0","Physical","Overhanging_trees","%","10",NA
1,"1_0","Physical","Erosion","%","100",NA
1,"1_0","Physical","Structure","0/1","0",NA
1,"1_0","Physical","Bedrock","%","0",NA
1,"1_0","Physical","Boulders","%","30",NA
1,"1_0","Physical","Cobble","%","30",NA
1,"1_0","Physical","Gravel","%","10",NA
1,"1_0","Physical","Sand","%","30",NA
1,"1_0","Physical","Mud","%","0",NA
1,"1_0","Physical","Organic_matter","%","0",NA
1,"1_0","Habitat","Vegetation_nearby","0/1","0",NA
1,"1_0","Habitat","Vegetation_species",NA,NA,NA
1,"1_0","Habitat","Wood_cover","%","0",NA
2,"2_0","Physical","Bottom_visible","0/1","1",NA
2,"2_0","Physical","Distance_5m","m","105.445519540936",NA
2,"2_0","Physical","Distance_20m","m","180.302636624781",NA
2,"2_0","Physical","Riparian_vegetation","%","70",NA
2,"2_0","Physical","Riparian_species",NA,"Flax",NA
2,"2_0","Physical","Overhanging_trees","%","0",NA
2,"2_0","Physical","Erosion","%","0",NA
2,"2_0","Physical","Structure","0/1","0",NA
2,"2_0","Physical","Bedrock","%","0",NA
2,"2_0","Physical","Boulders","%","20",NA
2,"2_0","Physical","Cobble","%","20",NA
2,"2_0","Physical","Gravel","%","0",NA
2,"2_0","Physical","Sand","%","60",NA
2,"2_0","Physical","Mud","%","0",NA
2,"2_0","Physical","Organic_matter","%","0",NA
2,"2_0","Habitat","Vegetation_nearby","0/1","0",NA
2,"2_0","Habitat","Vegetation_species",NA,NA,NA
2,"2_0","Habitat","Wood_cover","%","0",NA
3,"3_0","Physical","Bottom_visible","0/1","1",NA
3,"3_0","Physical","Distance_5m","m","75.103042747696705",NA
3,"3_0","Physical","Distance_20m","m","1429.22107248619",NA
3,"3_0","Physical","Riparian_vegetation","%","100",NA
3,"3_0","Physical","Riparian_species",NA,"grass",NA
3,"3_0","Physical","Overhanging_trees","%","0",NA
3,"3_0","Physical","Erosion","%","0",NA
3,"3_0","Physical","Structure","0/1","0",NA
3,"3_0","Physical","Bedrock","%","0",NA
3,"3_0","Physical","Boulders","%","0",NA
3,"3_0","Physical","Cobble","%","0",NA
3,"3_0","Physical","Gravel","%","0",NA
3,"3_0","Physical","Sand","%","100",NA
3,"3_0","Physical","Mud","%","0",NA
3,"3_0","Physical","Organic_matter","%","0",NA
3,"3_0","Habitat","Vegetation_nearby","0/1","1",NA
3,"3_0","Habitat","Vegetation_species",NA,"Three-leaved milfoil",NA
3,"3_0","Habitat","Wood_cover","%","0",NA
4,"4_0","Physical","Bottom_visible","0/1","1",NA
4,"4_0","Physical","Distance_5m","m","73.106421389251906",NA
4,"4_0","Physical","Distance_20m","m","1435.7027457702",NA
4,"4_0","Physical","Riparian_vegetation","%","80",NA
4,"4_0","Physical","Riparian_species",NA,"grass+flax",NA
4,"4_0","Physical","Overhanging_trees","%","5",NA
4,"4_0","Physical","Erosion","%","0",NA
4,"4_0","Physical","Structure","0/1","0",NA
4,"4_0","Physical","Bedrock","%","0",NA
4,"4_0","Physical","Boulders","%","0",NA
4,"4_0","Physical","Cobble","%","0",NA
4,"4_0","Physical","Gravel","%","0",NA
4,"4_0","Physical","Sand","%","100",NA
4,"4_0","Physical","Mud","%","0",NA
4,"4_0","Physical","Organic_matter","%","0",NA
4,"4_0","Habitat","Vegetation_nearby","0/1","1",NA
4,"4_0","Habitat","Vegetation_species",NA,"Three-leaved milfoil",NA
4,"4_0","Habitat","Wood_cover","%","0",NA
5,"5_0","Physical","Bottom_visible","0/1","1",NA
5,"5_0","Physical","Distance_5m","m","267.55142706578999",NA
5,"5_0","Physical","Distance_20m","m","1689.6854318227199",NA
5,"5_0","Physical","Riparian_vegetation","%","10",NA
5,"5_0","Physical","Riparian_species",NA,"Small trees",NA
5,"5_0","Physical","Overhanging_trees","%","0",NA
5,"5_0","Physical","Erosion","%","0",NA
5,"5_0","Physical","Structure","0/1","1","retainingwall"
5,"5_0","Physical","Bedrock","%","0",NA
5,"5_0","Physical","Boulders","%","0",NA
5,"5_0","Physical","Cobble","%","0",NA
5,"5_0","Physical","Gravel","%","0",NA
5,"5_0","Physical","Sand","%","70",NA
5,"5_0","Physical","Mud","%","30",NA
5,"5_0","Physical","Organic_matter","%","0",NA
5,"5_0","Habitat","Vegetation_nearby","0/1","0",NA
5,"5_0","Habitat","Vegetation_species",NA,NA,NA
5,"5_0","Habitat","Wood_cover","%","0",NA
6,"6_0","Physical","Bottom_visible","0/1","1",NA
6,"6_0","Physical","Distance_5m","m","220.524873221001",NA
6,"6_0","Physical","Distance_20m","m","1741.0626313093101",NA
6,"6_0","Physical","Riparian_vegetation","%","0",NA
6,"6_0","Physical","Riparian_species",NA,NA,NA
6,"6_0","Physical","Overhanging_trees","%","0",NA
6,"6_0","Physical","Erosion","%","0",NA
6,"6_0","Physical","Structure","0/1","1","retainingwall"
6,"6_0","Physical","Bedrock","%","0",NA
6,"6_0","Physical","Boulders","%","0",NA
6,"6_0","Physical","Cobble","%","0",NA
6,"6_0","Physical","Gravel","%","0",NA
6,"6_0","Physical","Sand","%","100",NA
6,"6_0","Physical","Mud","%","0",NA
6,"6_0","Physical","Organic_matter","%","0",NA
6,"6_0","Habitat","Vegetation_nearby","0/1","1",NA
6,"6_0","Habitat","Vegetation_species",NA,"Hornwort",NA
6,"6_0","Habitat","Wood_cover","%","0",NA
7,"7_0","Physical","Bottom_visible","0/1","1",NA
7,"7_0","Physical","Distance_5m","m","130.67824847969601",NA
7,"7_0","Physical","Distance_20m","m","334.10486413213903",NA
7,"7_0","Physical","Riparian_vegetation","%","100",NA
7,"7_0","Physical","Riparian_species",NA,"Grass",NA
7,"7_0","Physical","Overhanging_trees","%","0",NA
7,"7_0","Physical","Erosion","%","0",NA
7,"7_0","Physical","Structure","0/1","0",NA
7,"7_0","Physical","Bedrock","%","0",NA
7,"7_0","Physical","Boulders","%","0",NA
7,"7_0","Physical","Cobble","%","0",NA
7,"7_0","Physical","Gravel","%","0",NA
7,"7_0","Physical","Sand","%","100",NA
7,"7_0","Physical","Mud","%","0",NA
7,"7_0","Physical","Organic_matter","%","0",NA
7,"7_0","Habitat","Vegetation_nearby","0/1","0",NA
7,"7_0","Habitat","Vegetation_species",NA,NA,NA
7,"7_0","Habitat","Wood_cover","%","0",NA
8,"8_0","Physical","Bottom_visible","0/1","1",NA
8,"8_0","Physical","Distance_5m","m","69.508184012671805",NA
8,"8_0","Physical","Distance_20m","m","381.61439291613999",NA
8,"8_0","Physical","Riparian_vegetation","%","30",NA
8,"8_0","Physical","Riparian_species",NA,"Grass",NA
8,"8_0","Physical","Overhanging_trees","%","0",NA
8,"8_0","Physical","Erosion","%","0",NA
8,"8_0","Physical","Structure","0/1","0",NA
8,"8_0","Physical","Bedrock","%","0",NA
8,"8_0","Physical","Boulders","%","0",NA
8,"8_0","Physical","Cobble","%","0",NA
8,"8_0","Physical","Gravel","%","0",NA
8,"8_0","Physical","Sand","%","100",NA
8,"8_0","Physical","Mud","%","0",NA
8,"8_0","Physical","Organic_matter","%","0",NA
8,"8_0","Habitat","Vegetation_nearby","0/1","0",NA
8,"8_0","Habitat","Vegetation_species",NA,NA,NA
8,"8_0","Habitat","Wood_cover","%","0",NA
9,"9_0","Physical","Bottom_visible","0/1","1",NA
9,"9_0","Physical","Distance_5m","m","168.339491020125",NA
9,"9_0","Physical","Distance_20m","m","259.826404337621",NA
9,"9_0","Physical","Riparian_vegetation","%","0",NA
9,"9_0","Physical","Riparian_species",NA,NA,NA
9,"9_0","Physical","Overhanging_trees","%","0",NA
9,"9_0","Physical","Erosion","%","0",NA
9,"9_0","Physical","Structure","0/1","0",NA
9,"9_0","Physical","Bedrock","%","0",NA
9,"9_0","Physical","Boulders","%","5",NA
9,"9_0","Physical","Cobble","%","0",NA
9,"9_0","Physical","Gravel","%","15",NA
9,"9_0","Physical","Sand","%","80",NA
9,"9_0","Physical","Mud","%","0",NA
9,"9_0","Physical","Organic_matter","%","0",NA
9,"9_0","Habitat","Vegetation_nearby","0/1","0",NA
9,"9_0","Habitat","Vegetation_species",NA,NA,NA
9,"9_0","Habitat","Wood_cover","%","3",NA
10,"10_0","Physical","Bottom_visible","0/1","1",NA
10,"10_0","Physical","Distance_5m","m","138.622117701376",NA
10,"10_0","Physical","Distance_20m","m","221.36538172916099",NA
10,"10_0","Physical","Riparian_vegetation","%","20",NA
10,"10_0","Physical","Riparian_species",NA,"Flax",NA
10,"10_0","Physical","Overhanging_trees","%","0",NA
10,"10_0","Physical","Erosion","%","0",NA
10,"10_0","Physical","Structure","0/1","0",NA
10,"10_0","Physical","Bedrock","%","0",NA
10,"10_0","Physical","Boulders","%","0",NA
10,"10_0","Physical","Cobble","%","50",NA
10,"10_0","Physical","Gravel","%","50",NA
10,"10_0","Physical","Sand","%","0",NA
10,"10_0","Physical","Mud","%","0",NA
10,"10_0","Physical","Organic_matter","%","0",NA
10,"10_0","Habitat","Vegetation_nearby","0/1","0",NA
10,"10_0","Habitat","Vegetation_species",NA,NA,NA
10,"10_0","Habitat","Wood_cover","%","0",NA
11,"11_0","Physical","Bottom_visible","0/1","1",NA
11,"11_0","Physical","Distance_5m","m","38.942244562325001",NA
11,"11_0","Physical","Distance_20m","m","121.850769016352",NA
11,"11_0","Physical","Riparian_vegetation","%","0",NA
11,"11_0","Physical","Riparian_species",NA,"0",NA
11,"11_0","Physical","Overhanging_trees","%","0",NA
11,"11_0","Physical","Erosion","%","0",NA
11,"11_0","Physical","Structure","0/1","0",NA
11,"11_0","Physical","Bedrock","%","0",NA
11,"11_0","Physical","Boulders","%","90",NA
11,"11_0","Physical","Cobble","%","0",NA
11,"11_0","Physical","Gravel","%","0",NA
11,"11_0","Physical","Sand","%","10",NA
11,"11_0","Physical","Mud","%","0",NA
11,"11_0","Physical","Organic_matter","%","0",NA
11,"11_0","Habitat","Vegetation_nearby","0/1","0",NA
11,"11_0","Habitat","Vegetation_species",NA,NA,NA
11,"11_0","Habitat","Wood_cover","%","0",NA
12,"12_0","Physical","Bottom_visible","0/1","1",NA
12,"12_0","Physical","Distance_5m","m","70.918634145760194",NA
12,"12_0","Physical","Distance_20m","m","162.05012479636801",NA
12,"12_0","Physical","Riparian_vegetation","%","100",NA
12,"12_0","Physical","Riparian_species",NA,"Native forest",NA
12,"12_0","Physical","Overhanging_trees","%","100",NA
12,"12_0","Physical","Erosion","%","0",NA
12,"12_0","Physical","Structure","0/1","0",NA
12,"12_0","Physical","Bedrock","%","0",NA
12,"12_0","Physical","Boulders","%","20",NA
12,"12_0","Physical","Cobble","%","80",NA
12,"12_0","Physical","Gravel","%","0",NA
12,"12_0","Physical","Sand","%","0",NA
12,"12_0","Physical","Mud","%","0",NA
12,"12_0","Physical","Organic_matter","%","0",NA
12,"12_0","Habitat","Vegetation_nearby","0/1","0",NA
12,"12_0","Habitat","Vegetation_species",NA,NA,NA
12,"12_0","Habitat","Wood_cover","%","0",NA
13,"13_0","Physical","Bottom_visible","0/1","1",NA
13,"13_0","Physical","Distance_5m","m","63.335015819361701",NA
13,"13_0","Physical","Distance_20m","m","218.54441100186699",NA
13,"13_0","Physical","Riparian_vegetation","%","100",NA
13,"13_0","Physical","Riparian_species",NA,"Native forest",NA
13,"13_0","Physical","Overhanging_trees","%","100",NA
13,"13_0","Physical","Erosion","%","0",NA
13,"13_0","Physical","Structure","0/1","0",NA
13,"13_0","Physical","Bedrock","%","10",NA
13,"13_0","Physical","Boulders","%","0",NA
13,"13_0","Physical","Cobble","%","0",NA
13,"13_0","Physical","Gravel","%","10",NA
13,"13_0","Physical","Sand","%","80",NA
13,"13_0","Physical","Mud","%","0",NA
13,"13_0","Physical","Organic_matter","%","0",NA
13,"13_0","Habitat","Vegetation_nearby","0/1","0",NA
13,"13_0","Habitat","Vegetation_species",NA,NA,NA
13,"13_0","Habitat","Wood_cover","%","0",NA
14,"14_0","Physical","Bottom_visible","0/1","1",NA
14,"14_0","Physical","Distance_5m","m","59.880478669367001",NA
14,"14_0","Physical","Distance_20m","m","183.12960987940701",NA
14,"14_0","Physical","Riparian_vegetation","%","100",NA
14,"14_0","Physical","Riparian_species",NA,"Native forest",NA
14,"14_0","Physical","Overhanging_trees","%","100",NA
14,"14_0","Physical","Erosion","%","0",NA
14,"14_0","Physical","Structure","0/1","0",NA
14,"14_0","Physical","Bedrock","%","10",NA
14,"14_0","Physical","Boulders","%","0",NA
14,"14_0","Physical","Cobble","%","0",NA
14,"14_0","Physical","Gravel","%","0",NA
14,"14_0","Physical","Sand","%","90",NA
14,"14_0","Physical","Mud","%","0",NA
14,"14_0","Physical","Organic_matter","%","0",NA
14,"14_0","Habitat","Vegetation_nearby","0/1","0",NA
14,"14_0","Habitat","Vegetation_species",NA,NA,NA
14,"14_0","Habitat","Wood_cover","%","0",NA
15,"15_0","Physical","Bottom_visible","0/1","1",NA
15,"15_0","Physical","Distance_5m","m","57.9411293181277",NA
15,"15_0","Physical","Distance_20m","m","639.03395274642901",NA
15,"15_0","Physical","Riparian_vegetation","%","100",NA
15,"15_0","Physical","Riparian_species",NA,"Native forest",NA
15,"15_0","Physical","Overhanging_trees","%","100",NA
15,"15_0","Physical","Erosion","%","0",NA
15,"15_0","Physical","Structure","0/1","0",NA
15,"15_0","Physical","Bedrock","%","50",NA
15,"15_0","Physical","Boulders","%","0",NA
15,"15_0","Physical","Cobble","%","0",NA
15,"15_0","Physical","Gravel","%","0",NA
15,"15_0","Physical","Sand","%","20",NA
15,"15_0","Physical","Mud","%","0",NA
15,"15_0","Physical","Organic_matter","%","30",NA
15,"15_0","Habitat","Vegetation_nearby","0/1","1",NA
15,"15_0","Habitat","Vegetation_species",NA,"Hornwort",NA
15,"15_0","Habitat","Wood_cover","%","6",NA
16,"16_0","Physical","Bottom_visible","0/1","1",NA
16,"16_0","Physical","Distance_5m","m","27.586278169075001",NA
16,"16_0","Physical","Distance_20m","m","565.61863728637502",NA
16,"16_0","Physical","Riparian_vegetation","%","100",NA
16,"16_0","Physical","Riparian_species",NA,"Native forest",NA
16,"16_0","Physical","Overhanging_trees","%","100",NA
16,"16_0","Physical","Erosion","%","0",NA
16,"16_0","Physical","Structure","0/1","0",NA
16,"16_0","Physical","Bedrock","%","50",NA
16,"16_0","Physical","Boulders","%","0",NA
16,"16_0","Physical","Cobble","%","0",NA
16,"16_0","Physical","Gravel","%","0",NA
16,"16_0","Physical","Sand","%","20",NA
16,"16_0","Physical","Mud","%","0",NA
16,"16_0","Physical","Organic_matter","%","30",NA
16,"16_0","Habitat","Vegetation_nearby","0/1","0",NA
16,"16_0","Habitat","Vegetation_species",NA,NA,NA
16,"16_0","Habitat","Wood_cover","%","2",NA
17,"17_0","Physical","Bottom_visible","0/1","1",NA
17,"17_0","Physical","Distance_5m","m","13.9155980353024",NA
17,"17_0","Physical","Distance_20m","m","411.55710413086803",NA
17,"17_0","Physical","Riparian_vegetation","%","100",NA
17,"17_0","Physical","Riparian_species",NA,"Native forest",NA
17,"17_0","Physical","Overhanging_trees","%","100",NA
17,"17_0","Physical","Erosion","%","0",NA
17,"17_0","Physical","Structure","0/1","0",NA
17,"17_0","Physical","Bedrock","%","0",NA
17,"17_0","Physical","Boulders","%","50",NA
17,"17_0","Physical","Cobble","%","0",NA
17,"17_0","Physical","Gravel","%","0",NA
17,"17_0","Physical","Sand","%","50",NA
17,"17_0","Physical","Mud","%","0",NA
17,"17_0","Physical","Organic_matter","%","0",NA
17,"17_0","Habitat","Vegetation_nearby","0/1","0",NA
17,"17_0","Habitat","Vegetation_species",NA,NA,NA
17,"17_0","Habitat","Wood_cover","%","30",NA
18,"18_0","Physical","Bottom_visible","0/1","1",NA
18,"18_0","Physical","Distance_5m","m","10.2582815366794",NA
18,"18_0","Physical","Distance_20m","m","393.99543134125298",NA
18,"18_0","Physical","Riparian_vegetation","%","100",NA
18,"18_0","Physical","Riparian_species",NA,"Native forest",NA
18,"18_0","Physical","Overhanging_trees","%","100",NA
18,"18_0","Physical","Erosion","%","0",NA
18,"18_0","Physical","Structure","0/1","0",NA
18,"18_0","Physical","Bedrock","%","0",NA
18,"18_0","Physical","Boulders","%","80",NA
18,"18_0","Physical","Cobble","%","0",NA
18,"18_0","Physical","Gravel","%","0",NA
18,"18_0","Physical","Sand","%","20",NA
18,"18_0","Physical","Mud","%","0",NA
18,"18_0","Physical","Organic_matter","%","0",NA
18,"18_0","Habitat","Vegetation_nearby","0/1","0",NA
18,"18_0","Habitat","Vegetation_species",NA,NA,NA
18,"18_0","Habitat","Wood_cover","%","7",NA
19,"19_0","Physical","Bottom_visible","0/1","1",NA
19,"19_0","Physical","Distance_5m","m","142.69564315661299",NA
19,"19_0","Physical","Distance_20m","m","187.90193049333001",NA
19,"19_0","Physical","Riparian_vegetation","%","100",NA
19,"19_0","Physical","Riparian_species",NA,"Native forest",NA
19,"19_0","Physical","Overhanging_trees","%","100",NA
19,"19_0","Physical","Erosion","%","0",NA
19,"19_0","Physical","Structure","0/1","0",NA
19,"19_0","Physical","Bedrock","%","0",NA
19,"19_0","Physical","Boulders","%","0",NA
19,"19_0","Physical","Cobble","%","90",NA
19,"19_0","Physical","Gravel","%","0",NA
19,"19_0","Physical","Sand","%","10",NA
19,"19_0","Physical","Mud","%","0",NA
19,"19_0","Physical","Organic_matter","%","0",NA
19,"19_0","Habitat","Vegetation_nearby","0/1","1",NA
19,"19_0","Habitat","Vegetation_species",NA,"Hornwort",NA
19,"19_0","Habitat","Wood_cover","%","4",NA
20,"20_0","Physical","Bottom_visible","0/1","1",NA
20,"20_0","Physical","Distance_5m","m","112.65205053481201",NA
20,"20_0","Physical","Distance_20m","m","153.52894194799001",NA
20,"20_0","Physical","Riparian_vegetation","%","100",NA
20,"20_0","Physical","Riparian_species",NA,"Native forest",NA
20,"20_0","Physical","Overhanging_trees","%","100",NA
20,"20_0","Physical","Erosion","%","0",NA
20,"20_0","Physical","Structure","0/1","0",NA
20,"20_0","Physical","Bedrock","%","0",NA
20,"20_0","Physical","Boulders","%","0",NA
20,"20_0","Physical","Cobble","%","90",NA
20,"20_0","Physical","Gravel","%","0",NA
20,"20_0","Physical","Sand","%","10",NA
20,"20_0","Physical","Mud","%","0",NA
20,"20_0","Physical","Organic_matter","%","0",NA
20,"20_0","Habitat","Vegetation_nearby","0/1","1",NA
20,"20_0","Habitat","Vegetation_species",NA,"Hornwort",NA
20,"20_0","Habitat","Wood_cover","%","0",NA
