"site_id","Monitoring_label","Total_Individuals_Bullies","Total_Individuals_Catfish","Total_Individuals_Common_smelt","Total_Individuals_Eel","Total_Individuals_Goldfish","Total_Individuals_Kōaro","Total_Individuals_Kōura","Total_Individuals_Mosquitofish","Total_Individuals_Trout"
"1","0 Pre/Summer",2,0,19,1,6,4,2,0,0
"1","1 Autumn",15,0,40,0,1,42,12,0,0
"1","2 Winter",1,0,4,0,0,12,0,0,0
"1","3 Spring",0,0,0,0,0,0,0,0,0
"1","4 Summer",3,0,20,0,3,0,2,0,0
"1","5 Autumn",20,0,0,0,0,5,2,0,0
"2","0 Pre/Summer",2,0,14,0,3,7,2,0,0
"2","1 Autumn",17,0,0,0,1,31,21,0,0
"2","2 Winter",5,0,0,0,0,2,2,0,0
"2","3 Spring",0,0,0,0,0,0,0,0,0
"2","4 Summer",4,0,20,0,0,1,1,0,0
"2","5 Autumn",0,0,50,0,0,44,0,0,0
"3","0 Pre/Summer",107,0,0,0,2,0,0,1,0
"3","1 Autumn",4,0,0,0,0,5,0,0,0
"3","2 Winter",20,0,26,0,1,4,0,0,0
"3","3 Spring",8,0,0,0,0,1,0,0,0
"3","4 Summer",1,0,0,0,2,0,0,0,0
"3","5 Autumn",0,0,50,0,2,5,2,0,0
"4","0 Pre/Summer",105,0,1,0,1,0,0,0,0
"4","1 Autumn",10,0,9,0,0,24,1,0,0
"4","2 Winter",7,0,20,0,0,1,0,0,1
"4","3 Spring",2,0,0,0,2,2,0,0,0
"4","4 Summer",19,0,1,0,4,0,0,0,0
"4","5 Autumn",6,0,5,0,0,2,1,0,0
"5","0 Pre/Summer",109,1,1,0,5,0,2,0,0
"5","1 Autumn",11,0,2,0,10,0,2,0,0
"5","2 Winter",9,0,2,0,0,0,3,0,0
"5","3 Spring",20,2,31,0,38,0,5,0,0
"5","4 Summer",0,12,0,0,3,0,10,6,0
"5","5 Autumn",0,1,10,0,4,0,20,0,0
"6","0 Pre/Summer",119,2,0,1,4,0,0,0,0
"6","1 Autumn",65,4,0,0,7,0,3,10,0
"6","2 Winter",0,0,4,0,0,1,0,0,0
"6","3 Spring",6,2,0,0,29,0,1,0,1
"6","4 Summer",12,1,0,0,11,0,1,0,0
"6","5 Autumn",12,0,0,0,1,0,0,1,0
"7","0 Pre/Summer",6,0,16,0,11,0,0,0,0
"7","1 Autumn",47,0,11,0,2,80,2,0,0
"7","2 Winter",18,0,6,0,0,13,2,0,0
"7","3 Spring",0,0,10,0,11,21,4,0,0
"7","4 Summer",1,2,22,0,5,1,1,0,0
"7","5 Autumn",0,0,5,0,1,12,3,0,0
"8","0 Pre/Summer",4,0,18,0,4,1,0,0,0
"8","1 Autumn",5,0,12,0,0,14,0,0,0
"8","2 Winter",11,0,0,0,0,1,0,0,0
"8","3 Spring",0,0,3,0,0,4,0,0,0
"8","4 Summer",1,0,15,0,3,0,0,0,0
"8","5 Autumn",4,0,0,0,0,0,0,0,0
"9","0 Pre/Summer",118,0,4,0,3,2,0,0,0
"9","1 Autumn",22,0,33,0,0,44,14,0,0
"9","2 Winter",17,0,5,0,0,6,50,0,1
"9","3 Spring",2,1,40,0,2,0,18,0,0
"9","4 Summer",17,0,25,0,1,0,11,0,0
"9","5 Autumn",5,0,30,0,1,18,10,0,0
"10","0 Pre/Summer",35,0,7,0,5,0,1,0,0
"10","1 Autumn",9,0,69,1,0,30,6,0,0
"10","2 Winter",3,1,5,0,0,0,19,0,0
"10","3 Spring",5,0,4,0,2,0,6,0,0
"10","4 Summer",1,0,1,0,1,0,7,0,0
"10","5 Autumn",5,0,30,0,0,22,12,0,0
"11","0 Pre/Summer",22,1,50,0,11,0,0,0,0
"11","1 Autumn",14,0,0,0,0,271,4,0,0
"11","2 Winter",2,1,0,0,3,5,0,0,0
"11","3 Spring",13,2,0,0,11,1,1,0,0
"11","4 Summer",1,16,20,0,7,0,2,0,0
"11","5 Autumn",3,1,0,0,11,4,2,0,0
"12","0 Pre/Summer",8,1,20,0,21,0,0,0,0
"12","1 Autumn",20,1,0,0,2,9,4,0,0
"12","2 Winter",12,2,0,0,1,29,2,0,0
"12","3 Spring",13,3,0,0,6,1,0,0,0
"12","4 Summer",26,21,5,0,4,1,5,0,0
"12","5 Autumn",0,0,30,0,3,25,3,0,0
"13","0 Pre/Summer",3,0,0,0,1,0,0,0,0
"13","1 Autumn",0,0,0,0,0,0,0,0,0
"13","2 Winter",14,0,0,0,1,0,1,0,0
"13","3 Spring",1,0,3,0,14,1,0,0,0
"13","4 Summer",3,1,0,0,3,0,0,0,0
"13","5 Autumn",0,0,30,0,0,3,0,0,0
"14","0 Pre/Summer",3,0,0,0,0,0,1,0,0
"14","1 Autumn",0,0,0,0,0,0,0,0,0
"14","2 Winter",5,0,6,0,1,2,0,0,0
"14","3 Spring",3,0,0,0,9,2,0,0,0
"14","4 Summer",5,0,0,0,2,0,1,0,0
"14","5 Autumn",1,0,200,0,2,0,0,0,0
"15","0 Pre/Summer",1,0,10,0,16,1,17,0,0
"15","1 Autumn",8,0,20,0,1,14,7,0,0
"15","2 Winter",15,0,0,0,0,18,4,0,0
"15","3 Spring",2,0,12,0,5,0,1,0,0
"15","4 Summer",5,0,0,0,0,1,5,0,1
"15","5 Autumn",20,0,60,0,5,5,6,0,0
"16","0 Pre/Summer",2,0,6,0,0,0,1,0,1
"16","1 Autumn",16,0,30,0,15,9,8,0,0
"16","2 Winter",15,0,0,0,0,0,0,0,0
"16","3 Spring",51,0,20,0,11,0,1,0,0
"16","4 Summer",5,1,10,0,6,0,3,0,2
"16","5 Autumn",0,1,6,0,1,1,0,0,0
"17","0 Pre/Summer",3,6,0,0,8,0,12,0,0
"17","1 Autumn",10,5,10,0,3,4,11,0,0
"17","2 Winter",18,0,0,0,11,4,8,0,0
"17","3 Spring",3,1,3,0,44,1,18,0,0
"17","4 Summer",4,2,0,0,7,0,16,0,0
"17","5 Autumn",0,4,3,1,0,4,7,0,0
"18","0 Pre/Summer",8,4,3,0,6,0,15,0,0
"18","1 Autumn",20,7,1,0,4,3,5,0,0
"18","2 Winter",1,3,1,0,9,0,0,0,0
"18","3 Spring",13,0,0,0,6,0,1,0,0
"18","4 Summer",2,4,0,0,8,0,2,0,0
"18","5 Autumn",9,1,10,0,0,1,3,0,0
"19","0 Pre/Summer",9,0,5,0,3,1,13,0,0
"19","1 Autumn",6,1,10,0,2,82,42,0,0
"19","2 Winter",1,0,0,0,0,81,24,0,0
"19","3 Spring",1,0,0,0,3,0,17,0,0
"19","4 Summer",12,0,2,0,3,0,9,0,0
"19","5 Autumn",9,0,0,0,0,8,30,0,0
"20","0 Pre/Summer",15,0,20,0,2,1,26,0,0
"20","1 Autumn",11,0,0,0,0,211,69,0,0
"20","2 Winter",0,0,0,0,0,8,12,0,0
"20","3 Spring",3,0,0,0,0,1,45,0,0
"20","4 Summer",2,0,5,0,0,0,33,0,0
"20","5 Autumn",14,0,40,0,0,23,34,0,0
